año;distrito;barrio;Total;mujer;hombre
1 de enero de 2022;16. Hortaleza;162. Piovera;4.952;294;351
1 de enero de 2022;16. Hortaleza;163. Canillas;16.069;1.136;1.048
1 de enero de 2022;16. Hortaleza;164. Pinar del Rey;21.434;1.522;1.498
1 de enero de 2022;16. Hortaleza;165. Apóstol Santiago;5.843;333;436
1 de enero de 2022;16. Hortaleza;166. Valdefuentes;22.710;1.807;2.257
1 de enero de 2022;17. Villaverde;17. Villaverde;55.291;3.437;4.100
1 de enero de 2022;17. Villaverde;"171. Villaverde Alto, Casco Histórico de Villaverde";16.642;1.155;1.317
1 de enero de 2022;17. Villaverde;172. San Cristóbal;5.180;254;405
1 de enero de 2022;17. Villaverde;173. Butarque;7.349;512;664
1 de enero de 2022;17. Villaverde;174. Los Rosales;13.284;780;875
1 de enero de 2022;17. Villaverde;175. Ángeles;12.836;736;839
1 de enero de 2022;18. Villa de Vallecas;18. Villa de Vallecas;44.169;4.105;4.643
1 de enero de 2022;18. Villa de Vallecas;181. Casco Histórico de Vallecas;14.874;1.030;1.226
1 de enero de 2022;18. Villa de Vallecas;182. Santa Eugenia;9.055;414;438
1 de enero de 2022;18. Villa de Vallecas;183. Ensanche de Vallecas;20.240;2.661;2.979
1 de enero de 2022;19. Vicálvaro;19. Vicálvaro;29.407;2.078;2.497
1 de enero de 2022;19. Vicálvaro;191. Casco Histórico de Vicálvaro;13.392;872;1.005
1 de enero de 2022;19. Vicálvaro;192. Valdebernardo;6.095;387;375
1 de enero de 2022;19. Vicálvaro;193. Valderrivas;6.305;446;532
1 de enero de 2022;19. Vicálvaro;194. El Cañaveral;3.615;373;585
1 de enero de 2022;20. San Blas-Canillejas;20. San Blas-Canillejas;60.738;4.379;5.018
1 de enero de 2022;20. San Blas-Canillejas;201. Simancas;11.128;981;1.127
1 de enero de 2022;20. San Blas-Canillejas;202. Hellín;3.698;231;305
1 de enero de 2022;20. San Blas-Canillejas;203. Amposta;3.396;255;311
1 de enero de 2022;20. San Blas-Canillejas;204. Arcos;9.232;558;725
1 de enero de 2022;20. San Blas-Canillejas;205. Rosas;11.076;644;667
1 de enero de 2022;20. San Blas-Canillejas;206. Rejas;6.809;730;854
1 de enero de 2022;20. San Blas-Canillejas;207. Canillejas;11.032;687;743
1 de enero de 2022;20. San Blas-Canillejas;208. El Salvador;4.367;293;286
1 de enero de 2022;21. Barajas;21. Barajas;18.345;1.351;1.412
1 de enero de 2022;21. Barajas;211. Alameda de Osuna;7.428;344;378
1 de enero de 2022;21. Barajas;212. Aeropuerto;689;42;63
1 de enero de 2022;21. Barajas;213. Casco Histórico de Barajas;3.155;333;341
1 de enero de 2022;21. Barajas;214. Timón;4.462;437;410
1 de enero de 2022;21. Barajas;215. Corralejos;2.611;195;220
1 de enero de 2023;Ciudad de Madrid;Ciudad de Madrid;1.332.275;123.758;125.182
1 de enero de 2023;01. Centro;01. Centro;70.318;12.257;14.275
1 de enero de 2023;01. Centro;011. Palacio;11.768;1.870;2.122
1 de enero de 2023;01. Centro;012. Embajadores;22.794;4.085;4.682
1 de enero de 2023;01. Centro;013. Cortes;5.580;982;1.080
1 de enero de 2023;01. Centro;014. Justicia;9.132;1.551;1.949
1 de enero de 2023;01. Centro;015. Universidad;17.046;3.134;3.607
1 de enero de 2023;01. Centro;016. Sol;3.998;635;835
1 de enero de 2023;02. Arganzuela;02. Arganzuela;66.492;7.602;7.077
1 de enero de 2023;02. Arganzuela;021. Imperial;9.720;1.008;961
1 de enero de 2023;02. Arganzuela;022. Acacias;15.624;1.724;1.381
1 de enero de 2023;02. Arganzuela;023. Chopera;8.724;986;822
1 de enero de 2023;02. Arganzuela;024. Legazpi;7.777;837;906
1 de enero de 2023;02. Arganzuela;025. Delicias;12.142;1.406;1.322
1 de enero de 2023;02. Arganzuela;026. Palos de la Frontera;11.762;1.568;1.607
1 de enero de 2023;02. Arganzuela;027. Atocha;743;73;78
1 de enero de 2023;03. Retiro;03. Retiro;49.343;4.442;4.036
1 de enero de 2023;03. Retiro;031. Pacífico;14.847;1.589;1.368
1 de enero de 2023;03. Retiro;032. Adelfas;7.959;792;742
1 de enero de 2023;03. Retiro;033. Estrella;8.720;462;416
1 de enero de 2023;03. Retiro;034. Ibiza;9.378;1.031;896
1 de enero de 2023;03. Retiro;035. Los Jerónimos;2.744;203;257
1 de enero de 2023;03. Retiro;036. Niño Jesús;5.695;365;357
1 de enero de 2023;04. Salamanca;04. Salamanca;63.877;8.470;6.671
1 de enero de 2023;04. Salamanca;041. Recoletos;6.716;1.005;850
1 de enero de 2023;04. Salamanca;042. Goya;13.279;1.851;1.344
1 de enero de 2023;04. Salamanca;043. Fuente del Berro;9.345;1.167;922
1 de enero de 2023;04. Salamanca;044. Guindalera;18.143;2.177;1.754
1 de enero de 2023;04. Salamanca;045. Lista;9.340;1.287;936
1 de enero de 2023;04. Salamanca;046. Castellana;7.054;983;865
1 de enero de 2023;05. Chamartín;05. Chamartín;59.133;6.143;5.452
1 de enero de 2023;05. Chamartín;051. El Viso;6.195;553;544
1 de enero de 2023;05. Chamartín;052. Prosperidad;16.211;1.875;1.543
1 de enero de 2023;05. Chamartín;053. Ciudad Jardín;8.148;953;821
1 de enero de 2023;05. Chamartín;054. Hispanoamérica;12.547;1.162;1.038
1 de enero de 2023;05. Chamartín;055. Nueva España;9.275;991;868
1 de enero de 2023;05. Chamartín;056. Castilla;6.757;609;638
1 de enero de 2023;06. Tetuán;06. Tetuán;68.311;8.700;8.340
1 de enero de 2023;06. Tetuán;061. Bellas Vistas;12.185;1.515;1.431
1 de enero de 2023;06. Tetuán;062. Cuatro Caminos;15.324;1.987;1.792
1 de enero de 2023;06. Tetuán;063. Castillejos;9.525;1.350;1.222
1 de enero de 2023;06. Tetuán;064. Almenara;9.560;1.032;1.134
1 de enero de 2023;06. Tetuán;065. Valdeacederas;11.061;1.418;1.438
1 de enero de 2023;06. Tetuán;066. Berruguete;10.656;1.398;1.323
1 de enero de 2023;07. Chamberí;07. Chamberí;62.667;8.551;7.317
1 de enero de 2023;07. Chamberí;071. Gaztambide;10.610;1.457;1.234
1 de enero de 2023;07. Chamberí;072. Arapiles;11.347;1.563;1.314
1 de enero de 2023;07. Chamberí;073. Trafalgar;11.905;1.914;1.700
1 de enero de 2023;07. Chamberí;074. Almagro;8.109;1.000;933
1 de enero de 2023;07. Chamberí;075. Ríos Rosas;12.253;1.682;1.361
1 de enero de 2023;07. Chamberí;076. Vallehermoso;8.443;935;775
1 de enero de 2023;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;92.887;6.186;6.414
1 de enero de 2023;08. Fuencarral-El Pardo;081. El Pardo;1.316;91;107
1 de enero de 2023;08. Fuencarral-El Pardo;082. Fuentelarreina;1.158;58;45
1 de enero de 2023;08. Fuencarral-El Pardo;083. Peñagrande;17.370;1.089;1.035
1 de enero de 2023;08. Fuencarral-El Pardo;084. Pilar;19.653;1.600;1.445
1 de enero de 2023;08. Fuencarral-El Pardo;085. La Paz;12.517;487;484
1 de enero de 2023;08. Fuencarral-El Pardo;086. Valverde;23.483;1.795;2.124
1 de enero de 2023;08. Fuencarral-El Pardo;087. Mirasierra;11.425;587;641
1 de enero de 2023;08. Fuencarral-El Pardo;088. El Goloso;5.965;479;533
1 de enero de 2023;09. Moncloa-Aravaca;09. Moncloa-Aravaca;47.279;3.954;4.270
1 de enero de 2023;09. Moncloa-Aravaca;091. Casa de Campo;5.615;497;596
1 de enero de 2023;09. Moncloa-Aravaca;092. Argüelles;10.711;1.282;1.345
1 de enero de 2023;09. Moncloa-Aravaca;093. Ciudad Universitaria;6.277;467;569
1 de enero de 2023;09. Moncloa-Aravaca;094. Valdezarza;12.715;1.018;1.011
1 de enero de 2023;09. Moncloa-Aravaca;095. Valdemarín;2.078;132;176
1 de enero de 2023;09. Moncloa-Aravaca;096. El Plantío;953;47;55
1 de enero de 2023;09. Moncloa-Aravaca;097. Aravaca;8.930;511;518
1 de enero de 2023;10. Latina;10. Latina;97.250;7.352;7.756
1 de enero de 2023;10. Latina;101. Los Cármenes;6.760;492;597
1 de enero de 2023;10. Latina;102. Puerta del Ángel;18.239;2.000;2.016
1 de enero de 2023;10. Latina;103. Lucero;14.396;1.091;1.195
1 de enero de 2023;10. Latina;104. Aluche;27.043;1.717;1.700
1 de enero de 2023;10. Latina;105. Campamento;7.505;512;544
1 de enero de 2023;10. Latina;106. Cuatro Vientos;2.342;305;313
1 de enero de 2023;10. Latina;107. Águilas;20.965;1.235;1.391
1 de enero de 2023;11. Carabanchel;11. Carabanchel;98.591;8.000;8.016
1 de enero de 2023;11. Carabanchel;111. Comillas;9.679;909;921
1 de enero de 2023;11. Carabanchel;112. Opañel;13.463;1.295;1.161
1 de enero de 2023;11. Carabanchel;113. San Isidro;15.593;1.404;1.400
1 de enero de 2023;11. Carabanchel;114. Vista Alegre;17.773;1.273;1.193
1 de enero de 2023;11. Carabanchel;115. Puerta Bonita;12.904;944;964
1 de enero de 2023;11. Carabanchel;116. Buenavista;17.942;1.423;1.661
1 de enero de 2023;11. Carabanchel;117. Abrantes;11.237;752;716
1 de enero de 2023;12. Usera;12. Usera;50.958;3.487;3.861
1 de enero de 2023;12. Usera;121. Orcasitas;8.512;477;525
1 de enero de 2023;12. Usera;122. Orcasur;4.835;342;397
1 de enero de 2023;12. Usera;123. San Fermín;8.343;513;667
1 de enero de 2023;12. Usera;124. Almendrales;8.129;639;688
1 de enero de 2023;12. Usera;125. Moscardó;9.937;750;816
1 de enero de 2023;12. Usera;126. Zofío;5.107;357;335
1 de enero de 2023;12. Usera;127. Pradolongo;6.095;409;433
1 de enero de 2023;13. Puente de Vallecas;13. Puente de Vallecas;90.868;7.130;7.842
1 de enero de 2023;13. Puente de Vallecas;131. Entrevías;12.790;799;951
1 de enero de 2023;13. Puente de Vallecas;132. San Diego;16.743;1.603;1.902
1 de enero de 2023;13. Puente de Vallecas;133. Palomeras Bajas;15.269;1.167;1.144
1 de enero de 2023;13. Puente de Vallecas;134. Palomeras Sureste;16.410;1.095;1.264
1 de enero de 2023;13. Puente de Vallecas;135. Portazgo;10.941;810;814
1 de enero de 2023;13. Puente de Vallecas;136. Numancia;18.715;1.656;1.767
1 de enero de 2023;14. Moratalaz;14. Moratalaz;37.678;2.554;2.468
1 de enero de 2023;14. Moratalaz;141. Pavones;3.298;172;188
1 de enero de 2023;14. Moratalaz;142. Horcajo;2.200;168;141
1 de enero de 2023;14. Moratalaz;143. Marroquina;10.837;653;605
1 de enero de 2023;14. Moratalaz;144. Media Legua;7.142;513;469
1 de enero de 2023;14. Moratalaz;145. Fontarrón;6.957;469;548
1 de enero de 2023;14. Moratalaz;146. Vinateros;7.244;579;517
1 de enero de 2023;15. Ciudad Lineal;15. Ciudad Lineal;89.467;7.781;7.433
1 de enero de 2023;15. Ciudad Lineal;151. Ventas;20.841;1.833;1.842
1 de enero de 2023;15. Ciudad Lineal;152. Pueblo Nuevo;24.463;1.887;1.902
1 de enero de 2023;15. Ciudad Lineal;153. Quintana;10.680;1.125;1.005
1 de enero de 2023;15. Ciudad Lineal;154. Concepción;9.241;957;857
1 de enero de 2023;15. Ciudad Lineal;155. San Pascual;7.838;696;626
1 de enero de 2023;15. Ciudad Lineal;156. San Juan Bautista;4.967;407;414
1 de enero de 2023;15. Ciudad Lineal;157. Colina;2.726;283;256
1 de enero de 2023;15. Ciudad Lineal;158. Atalaya;604;61;57
1 de enero de 2023;15. Ciudad Lineal;159. Costillares;8.107;532;474
1 de enero de 2023;16. Hortaleza;16. Hortaleza;74.740;5.317;5.887
1 de enero de 2023;16. Hortaleza;161. Palomas;2.300;96;126
1 de enero de 2023;16. Hortaleza;162. Piovera;5.025;310;340
1 de enero de 2023;16. Hortaleza;163. Canillas;16.218;1.175;1.116
1 de enero de 2023;16. Hortaleza;164. Pinar del Rey;21.565;1.569;1.545
1 de enero de 2023;16. Hortaleza;165. Apóstol Santiago;5.881;349;452
1 de enero de 2023;16. Hortaleza;166. Valdefuentes;23.751;1.818;2.308
1 de enero de 2023;17. Villaverde;17. Villaverde;56.346;3.539;4.143
1 de enero de 2023;17. Villaverde;"171. Villaverde Alto, Casco Histórico de Villaverde";16.874;1.106;1.326
1 de enero de 2023;17. Villaverde;172. San Cristóbal;5.220;264;392
1 de enero de 2023;17. Villaverde;173. Butarque;7.464;541;639
1 de enero de 2023;17. Villaverde;174. Los Rosales;13.365;795;880
1 de enero de 2023;17. Villaverde;175. Ángeles;13.423;833;906
1 de enero de 2023;18. Villa de Vallecas;18. Villa de Vallecas;45.035;4.192;4.691
1 de enero de 2023;18. Villa de Vallecas;181. Casco Histórico de Vallecas;15.035;1.067;1.245
1 de enero de 2023;18. Villa de Vallecas;182. Santa Eugenia;9.075;426;451
1 de enero de 2023;18. Villa de Vallecas;183. Ensanche de Vallecas;20.925;2.699;2.995
1 de enero de 2023;19. Vicálvaro;19. Vicálvaro;31.143;2.219;2.727
1 de enero de 2023;19. Vicálvaro;191. Casco Histórico de Vicálvaro;13.509;888;1.028
1 de enero de 2023;19. Vicálvaro;192. Valdebernardo;6.137;376;362
1 de enero de 2023;19. Vicálvaro;193. Valderrivas;6.328;475;521
1 de enero de 2023;19. Vicálvaro;194. El Cañaveral;5.169;480;816
1 de enero de 2023;20. San Blas-Canillejas;20. San Blas-Canillejas;61.374;4.464;5.097
1 de enero de 2023;20. San Blas-Canillejas;201. Simancas;11.275;1.014;1.154
1 de enero de 2023;20. San Blas-Canillejas;202. Hellín;3.696;225;290
1 de enero de 2023;20. San Blas-Canillejas;203. Amposta;3.471;267;312
1 de enero de 2023;20. San Blas-Canillejas;204. Arcos;9.317;577;739
1 de enero de 2023;20. San Blas-Canillejas;205. Rosas;11.122;653;647
1 de enero de 2023;20. San Blas-Canillejas;206. Rejas;6.963;726;892
1 de enero de 2023;20. San Blas-Canillejas;207. Canillejas;11.156;693;771
1 de enero de 2023;20. San Blas-Canillejas;208. El Salvador;4.374;309;292
1 de enero de 2023;21. Barajas;21. Barajas;18.518;1.418;1.409
1 de enero de 2023;21. Barajas;211. Alameda de Osuna;7.458;355;378
1 de enero de 2023;21. Barajas;212. Aeropuerto;702;52;62
1 de enero de 2023;21. Barajas;213. Casco Histórico de Barajas;3.187;352;354
1 de enero de 2023;21. Barajas;214. Timón;4.520;450;397
1 de enero de 2023;21. Barajas;215. Corralejos;2.651;209;218
1 de enero de 2024;Ciudad de Madrid;Ciudad de Madrid;1.389.311;137.010;140.547
1 de enero de 2024;01. Centro;01. Centro;74.818;14.163;16.124
1 de enero de 2024;01. Centro;011. Palacio;12.415;2.130;2.408
1 de enero de 2024;01. Centro;012. Embajadores;24.315;4.664;5.262
1 de enero de 2024;01. Centro;013. Cortes;5.968;1.198;1.224
1 de enero de 2024;01. Centro;014. Justicia;9.737;1.841;2.227
1 de enero de 2024;01. Centro;015. Universidad;18.090;3.553;4.058
1 de enero de 2024;01. Centro;016. Sol;4.293;777;945
1 de enero de 2024;02. Arganzuela;02. Arganzuela;68.911;8.299;7.890
1 de enero de 2024;02. Arganzuela;021. Imperial;10.011;1.102;1.088
1 de enero de 2024;02. Arganzuela;022. Acacias;16.075;1.813;1.543
1 de enero de 2024;02. Arganzuela;023. Chopera;9.066;1.115;947
1 de enero de 2024;02. Arganzuela;024. Legazpi;8.077;914;970
1 de enero de 2024;02. Arganzuela;025. Delicias;12.635;1.555;1.436
1 de enero de 2024;02. Arganzuela;026. Palos de la Frontera;12.254;1.718;1.829
1 de enero de 2024;02. Arganzuela;027. Atocha;793;82;77
1 de enero de 2024;03. Retiro;03. Retiro;50.925;4.912;4.431
1 de enero de 2024;03. Retiro;031. Pacífico;15.350;1.718;1.466
1 de enero de 2024;03. Retiro;032. Adelfas;8.155;852;789
1 de enero de 2024;03. Retiro;033. Estrella;8.903;513;490
1 de enero de 2024;03. Retiro;034. Ibiza;9.784;1.185;978
1 de enero de 2024;03. Retiro;035. Los Jerónimos;2.861;252;295
1 de enero de 2024;03. Retiro;036. Niño Jesús;5.872;392;413
1 de enero de 2024;04. Salamanca;04. Salamanca;67.550;9.858;7.982
1 de enero de 2024;04. Salamanca;041. Recoletos;7.154;1.173;985
1 de enero de 2024;04. Salamanca;042. Goya;14.100;2.175;1.619
1 de enero de 2024;04. Salamanca;043. Fuente del Berro;9.701;1.303;1.025
1 de enero de 2024;04. Salamanca;044. Guindalera;18.907;2.416;2.050
1 de enero de 2024;04. Salamanca;045. Lista;9.893;1.536;1.144
1 de enero de 2024;04. Salamanca;046. Castellana;7.795;1.255;1.159
1 de enero de 2024;05. Chamartín;05. Chamartín;61.573;6.950;6.138
1 de enero de 2024;05. Chamartín;051. El Viso;6.497;668;657
1 de enero de 2024;05. Chamartín;052. Prosperidad;16.895;2.108;1.731
1 de enero de 2024;05. Chamartín;053. Ciudad Jardín;8.504;1.106;934
1 de enero de 2024;05. Chamartín;054. Hispanoamérica;12.953;1.260;1.139
1 de enero de 2024;05. Chamartín;055. Nueva España;9.677;1.123;977
1 de enero de 2024;05. Chamartín;056. Castilla;7.047;685;700
1 de enero de 2024;06. Tetuán;06. Tetuán;71.701;9.597;9.531
1 de enero de 2024;06. Tetuán;061. Bellas Vistas;12.795;1.655;1.666
1 de enero de 2024;06. Tetuán;062. Cuatro Caminos;15.984;2.201;2.054
1 de enero de 2024;06. Tetuán;063. Castillejos;10.007;1.477;1.386
1 de enero de 2024;06. Tetuán;064. Almenara;9.946;1.161;1.269
1 de enero de 2024;06. Tetuán;065. Valdeacederas;11.714;1.579;1.665
1 de enero de 2024;06. Tetuán;066. Berruguete;11.255;1.524;1.491
1 de enero de 2024;07. Chamberí;07. Chamberí;65.866;9.773;8.450
1 de enero de 2024;07. Chamberí;071. Gaztambide;11.128;1.675;1.413
1 de enero de 2024;07. Chamberí;072. Arapiles;11.909;1.745;1.514
1 de enero de 2024;07. Chamberí;073. Trafalgar;12.577;2.234;1.966
1 de enero de 2024;07. Chamberí;074. Almagro;8.584;1.176;1.072
1 de enero de 2024;07. Chamberí;075. Ríos Rosas;12.871;1.896;1.574
1 de enero de 2024;07. Chamberí;076. Vallehermoso;8.797;1.047;911
1 de enero de 2024;08. Fuencarral-El Pardo;08. Fuencarral-El Pardo;95.952;6.753;7.067
1 de enero de 2024;08. Fuencarral-El Pardo;081. El Pardo;1.369;92;114
1 de enero de 2024;08. Fuencarral-El Pardo;082. Fuentelarreina;1.201;66;50
1 de enero de 2024;08. Fuencarral-El Pardo;083. Peñagrande;17.769;1.155;1.138
1 de enero de 2024;08. Fuencarral-El Pardo;084. Pilar;20.231;1.767;1.615
1 de enero de 2024;08. Fuencarral-El Pardo;085. La Paz;12.759;523;533
1 de enero de 2024;08. Fuencarral-El Pardo;086. Valverde;24.496;1.994;2.375
1 de enero de 2024;08. Fuencarral-El Pardo;087. Mirasierra;11.910;649;673
1 de enero de 2024;08. Fuencarral-El Pardo;088. El Goloso;6.217;507;569
1 de enero de 2024;09. Moncloa-Aravaca;09. Moncloa-Aravaca;49.201;4.403;4.712
1 de enero de 2024;09. Moncloa-Aravaca;091. Casa de Campo;5.752;554;623
1 de enero de 2024;09. Moncloa-Aravaca;092. Argüelles;11.181;1.435;1.491
1 de enero de 2024;09. Moncloa-Aravaca;093. Ciudad Universitaria;6.503;545;616
1 de enero de 2024;09. Moncloa-Aravaca;094. Valdezarza;13.216;1.097;1.135
1 de enero de 2024;09. Moncloa-Aravaca;095. Valdemarín;2.218;152;203
1 de enero de 2024;09. Moncloa-Aravaca;096. El Plantío;1.001;48;57
1 de enero de 2024;09. Moncloa-Aravaca;097. Aravaca;9.330;572;587
1 de enero de 2024;10. Latina;10. Latina;100.595;7.971;8.656
1 de enero de 2024;10. Latina;101. Los Cármenes;7.018;540;680
1 de enero de 2024;10. Latina;102. Puerta del Ángel;19.256;2.210;2.341
1 de enero de 2024;10. Latina;103. Lucero;14.890;1.182;1.314
1 de enero de 2024;10. Latina;104. Aluche;27.765;1.818;1.859
1 de enero de 2024;10. Latina;105. Campamento;7.763;539;598
1 de enero de 2024;10. Latina;106. Cuatro Vientos;2.448;311;341
1 de enero de 2024;10. Latina;107. Águilas;21.455;1.371;1.523
1 de enero de 2024;11. Carabanchel;11. Carabanchel;102.547;8.679;9.035
1 de enero de 2024;11. Carabanchel;111. Comillas;10.045;1.017;1.050
1 de enero de 2024;11. Carabanchel;112. Opañel;14.016;1.393;1.342
1 de enero de 2024;11. Carabanchel;113. San Isidro;16.223;1.557;1.563
1 de enero de 2024;11. Carabanchel;114. Vista Alegre;18.468;1.393;1.348
1 de enero de 2024;11. Carabanchel;115. Puerta Bonita;13.465;970;1.118
1 de enero de 2024;11. Carabanchel;116. Buenavista;18.677;1.524;1.821
1 de enero de 2024;11. Carabanchel;117. Abrantes;11.653;825;793
1 de enero de 2024;12. Usera;12. Usera;52.911;3.724;4.361
1 de enero de 2024;12. Usera;121. Orcasitas;8.642;508;550
1 de enero de 2024;12. Usera;122. Orcasur;5.006;349;453
1 de enero de 2024;12. Usera;123. San Fermín;8.618;564;715
1 de enero de 2024;12. Usera;124. Almendrales;8.485;677;773
1 de enero de 2024;12. Usera;125. Moscardó;10.413;838;947
1 de enero de 2024;12. Usera;126. Zofío;5.331;361;393
1 de enero de 2024;12. Usera;127. Pradolongo;6.416;427;530
1 de enero de 2024;13. Puente de Vallecas;13. Puente de Vallecas;94.569;7.713;8.604
1 de enero de 2024;13. Puente de Vallecas;131. Entrevías;13.157;855;1.042
1 de enero de 2024;13. Puente de Vallecas;132. San Diego;17.988;1.740;2.060
1 de enero de 2024;13. Puente de Vallecas;133. Palomeras Bajas;15.759;1.246;1.229
1 de enero de 2024;13. Puente de Vallecas;134. Palomeras Sureste;16.908;1.183;1.413
1 de enero de 2024;13. Puente de Vallecas;135. Portazgo;11.263;864;880
1 de enero de 2024;13. Puente de Vallecas;136. Numancia;19.494;1.825;1.980
1 de enero de 2024;14. Moratalaz;14. Moratalaz;38.535;2.719;2.636
1 de enero de 2024;14. Moratalaz;141. Pavones;3.360;170;212
1 de enero de 2024;14. Moratalaz;142. Horcajo;2.234;162;139
1 de enero de 2024;14. Moratalaz;143. Marroquina;11.011;704;635
1 de enero de 2024;14. Moratalaz;144. Media Legua;7.324;544;498
1 de enero de 2024;14. Moratalaz;145. Fontarrón;7.188;509;589
1 de enero de 2024;14. Moratalaz;146. Vinateros;7.418;630;563
1 de enero de 2024;15. Ciudad Lineal;15. Ciudad Lineal;93.616;8.575;8.483
1 de enero de 2024;15. Ciudad Lineal;151. Ventas;21.624;2.025;2.112
1 de enero de 2024;15. Ciudad Lineal;152. Pueblo Nuevo;25.500;2.037;2.141
1 de enero de 2024;15. Ciudad Lineal;153. Quintana;11.234;1.244;1.118
1 de enero de 2024;15. Ciudad Lineal;154. Concepción;9.848;1.070;1.044
1 de enero de 2024;15. Ciudad Lineal;155. San Pascual;8.228;784;704
1 de enero de 2024;15. Ciudad Lineal;156. San Juan Bautista;5.302;456;488
1 de enero de 2024;15. Ciudad Lineal;157. Colina;2.875;324;281
1 de enero de 2024;15. Ciudad Lineal;158. Atalaya;633;61;63
1 de enero de 2024;15. Ciudad Lineal;159. Costillares;8.372;574;532
1 de enero de 2024;16. Hortaleza;16. Hortaleza;77.873;5.806;6.474
1 de enero de 2024;16. Hortaleza;161. Palomas;2.380;105;147
1 de enero de 2024;16. Hortaleza;162. Piovera;5.272;344;371
1 de enero de 2024;16. Hortaleza;163. Canillas;16.576;1.223;1.219
1 de enero de 2024;16. Hortaleza;164. Pinar del Rey;22.134;1.720;1.700
1 de enero de 2024;16. Hortaleza;165. Apóstol Santiago;6.053;379;473
1 de enero de 2024;16. Hortaleza;166. Valdefuentes;25.458;2.035;2.564
1 de enero de 2024;17. Villaverde;17. Villaverde;58.902;3.831;4.578
1 de enero de 2024;17. Villaverde;"171. Villaverde Alto, Casco Histórico de Villaverde";17.552;1.159;1.458
1 de enero de 2024;17. Villaverde;172. San Cristóbal;5.549;300;460
1 de enero de 2024;17. Villaverde;173. Butarque;7.875;598;704
1 de enero de 2024;17. Villaverde;174. Los Rosales;13.861;831;961
1 de enero de 2024;17. Villaverde;175. Ángeles;14.065;943;995
1 de enero de 2024;18. Villa de Vallecas;18. Villa de Vallecas;47.178;4.483;5.133
1 de enero de 2024;18. Villa de Vallecas;181. Casco Histórico de Vallecas;15.672;1.160;1.412
1 de enero de 2024;18. Villa de Vallecas;182. Santa Eugenia;9.274;461;500
1 de enero de 2024;18. Villa de Vallecas;183. Ensanche de Vallecas;22.232;2.862;3.221
1 de enero de 2024;19. Vicálvaro;19. Vicálvaro;33.437;2.486;3.068
1 de enero de 2024;19. Vicálvaro;191. Casco Histórico de Vicálvaro;14.078;992;1.160
1 de enero de 2024;19. Vicálvaro;192. Valdebernardo;6.241;383;366
1 de enero de 2024;19. Vicálvaro;193. Valderrivas;6.413;483;548
1 de enero de 2024;19. Vicálvaro;194. El Cañaveral;6.705;628;994
1 de enero de 2024;20. San Blas-Canillejas;20. San Blas-Canillejas;63.510;4.782;5.640
1 de enero de 2024;20. San Blas-Canillejas;201. Simancas;11.739;1.058;1.292
1 de enero de 2024;20. San Blas-Canillejas;202. Hellín;3.816;243;316
1 de enero de 2024;20. San Blas-Canillejas;203. Amposta;3.631;295;342
1 de enero de 2024;20. San Blas-Canillejas;204. Arcos;9.633;596;808
1 de enero de 2024;20. San Blas-Canillejas;205. Rosas;11.296;685;704
1 de enero de 2024;20. San Blas-Canillejas;206. Rejas;7.362;789;994
1 de enero de 2024;20. San Blas-Canillejas;207. Canillejas;11.546;796;878
1 de enero de 2024;20. San Blas-Canillejas;208. El Salvador;4.487;320;306
1 de enero de 2024;21. Barajas;21. Barajas;19.141;1.533;1.554
1 de enero de 2024;21. Barajas;211. Alameda de Osuna;7.639;392;418
1 de enero de 2024;21. Barajas;212. Aeropuerto;718;49;65
1 de enero de 2024;21. Barajas;213. Casco Histórico de Barajas;3.334;404;385
1 de enero de 2024;21. Barajas;214. Timón;4.697;465;432
1 de enero de 2024;21. Barajas;215. Corralejos;2.753;223;254
